time_fs,P_0,P_1,P_2,P_3,P_4,P_5,coherence_l1,classical_P_0,classical_P_1,classical_P_2,classical_P_3,classical_P_4,classical_P_5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.1,0.9998766885321725,0.000119714460956658,5.302475801748472e-10,3.236927801075441e-06,3.5954528945354853e-07,3.532695348561675e-12,0.02611746437811881,0.9993210156909592,0.0006472234857591156,3.0857068259136546e-08,2.4560570406025627e-05,7.168690052928504e-06,7.057545128193058e-10
0.2,0.9995215397424011,0.0004644741714383663,8.161509603670404e-09,1.2581611023024243e-05,1.3962592853796184e-06,5.4342566477408555e-11,0.05036741304665587,0.9986429119544634,0.0012935066171833897,1.233635477040745e-07,4.9079559754585554e-05,1.4375682174402994e-05,2.822876470344855e-09
0.30000000000000004,0.9989590194676867,0.0010104469604479852,3.966043990445993e-08,2.7451498227840632e-05,3.042148988358289e-06,2.642092189091172e-10,0.07273503257224614,0.9979656875832537,0.0019388506992768194,2.77422452242429e-07,7.355710262708156e-05,2.162084123711838e-05,6.351152999157726e-09
0.4,0.9982157613369448,0.0017316591013240446,1.200650887020788e-07,4.7234033760376366e-05,5.2246617552231665e-06,8.011269448598408e-10,0.09321882408389326,0.9972893413717377,0.002583257035238416,4.929369315071161e-07,9.799333319374441e-05,2.8904032528193812e-05,1.129037055866073e-08
0.5,0.9973195476730006,0.0026009978212534284,2.8020444808371086e-07,7.130317537839631e-05,7.869251264669123e-06,1.874654890162737e-09,0.11183039684280445,0.996613872115987,0.003226726926464709,7.698102706693221e-07,0.00012238838521484293,3.622512174795353e-05,1.764031494379892e-08
0.6000000000000001,0.9962984018887036,0.003591104554261524,5.543239146568383e-07,9.903388770256999e-05,1.0901622934198124e-05,3.7224835488765134e-09,0.12859402232072187,0.9959392786137359,0.003869261672552241,1.1079458902517291e-06,0.0001467423920418896,4.3583975008711286e-05,2.5400771287771414e-08
0.7000000000000001,0.995179801243883,0.004675150021234557,9.778924548823628e-07,0.0001298145971639346,1.4249646885177637e-05,6.598378532519507e-09,0.14354599276025057,0.9952655596643774,0.004510862571300066,1.507247345941998e-06,0.0001710554866188428,5.0980458833558126e-05,3.4571524064734547e-08
0.8,0.9939900143476311,0.005827486666285283,1.585649977492342e-06,0.00016305763770457337,1.7844936805010146e-05,1.0761596688028653e-08,0.15673382741240835,0.9945927140689637,0.005151530918712238,1.9676183284065047e-06,0.00019532780148330553,5.841444015515388e-05,4.515235709249637e-08
0.9,0.9927535638160276,0.007024177924222632,2.4099365277116547e-06,0.00019820775351236488,2.1624101895980455e-05,1.646781387783763e-08,0.16821536725651276,0.9939207406302007,0.005791268009000298,2.488962663104333e-06,0.00021955946876772028,6.588578631452201e-05,5.7143053535202524e-08
1.0,0.9914928110651967,0.008243407202130989,3.479328945818061e-06,0.00023474875566742388,2.5529686501749384e-05,2.3961557550876137e-08,0.178057795382975,0.9932496381524477,0.006430075134585756,3.0711843101015258e-06,0.0002437506202005613,7.339436505984797e-05,7.054339590601351e-08
1.1,0.9902276573500289,0.009465772311909435,4.8175959965973155e-06,0.00027220845398749166,2.9510817977849063e-05,3.3470099926694546e-08,0.18633661571458834,0.9925794054417144,0.007067953586102578,3.714187363885585e-06,0.00026790138710752255,8.094004454528103e-05,8.535316606977351e-08
1.2000000000000002,0.9889753528490991,0.010674473390284024,6.4429699896759105e-06,0.00031016200391928726,3.3523587969741705e-05,4.519873838265177e-08,0.19313461767242016,0.9919100413056594,0.007704904652399659,4.41787605318023e-06,0.00029201190041270263,8.852269332973956e-05,1.0157214524567039e-07
1.3,0.9877504038303645,0.011855404103478287,8.367721786233104e-06,0.00034823382144605374,3.7531195557506525e-05,5.9327367614937867e-08,0.19854084902609784,0.9912415445535866,0.008340929620543294,5.182154740760411e-06,0.00031608229063978603,9.614218037571982e-05,1.1920011400988755e-07
1.4000000000000001,0.986564566681794,0.01299715718307067,1.0598016944917655e-05,0.000386098227138925,4.150388281918324e-05,7.600823245886018e-08,0.20264961371810314,0.9905739139964432,0.008976029775819652,6.0069279232675716e-06,0.0003401126879132219,0.0001037983750481082,1.3823685229824696e-07
1.5,0.9854269168178504,0.014090956115221487,1.313402363510072e-05,0.0004234789841817659,4.5418694371375534e-05,9.536474003645731e-08,0.20555950607403306,0.9899071484468203,0.009610206401737246,6.892100231025166e-06,0.000364103221959398,0.00011149114711299668,1.5868213940884395e-07
1.6,0.9843439801308996,0.015130525152620283,1.597023780231623e-05,0.0004601478949800053,4.9259092493677895e-05,1.17491204321729e-07,0.2073724876079403,0.9892412467189443,0.010243460780029377,7.837576427854438e-06,0.0003880540221078119,0.00011922036673650199,1.8053575400467335e-07
1.7000000000000002,0.9833199146950868,0.016111909787673264,1.909598781113966e-05,0.0004959226173671754,5.301445866731961e-05,1.4245339450193435e-07,0.20819300766070534,0.9885762076286827,0.010875794190656632,8.843261410890442e-06,0.0004119652172922395,0.00012698590448358816,2.0379747411624763e-07
1.8,0.9823567307948039,0.017033259470285066,2.2496079267845098e-05,0.0005306638549885205,5.667951089491779e-05,1.70289759960077e-07,0.20812716439713014,0.9879120299935344,0.0115072079118093,9.909060210398309e-06,0.0004358369360518988,0.0001347876313168922,2.2846707714420592e-07
1.9000000000000001,0.9814545379851555,0.017894583729034005,2.6151540754497337e-05,0.000564272067694904,6.0253664152646644e-05,2.0101320867400269e-07,0.20728189825703072,0.9872487126326328,0.012137703219909842,1.1034877989589792e-05,0.00045966930653261164,0.00014262541859555339,2.5454433986191555e-07
2.0,0.9806118087428327,0.018697492015155123,3.0040432577080398e-05,0.0005966838372246369,6.374035888889859e-05,2.3461332176154693e-07,0.20576420586263464,0.9865862543667396,0.012767281389615354,1.222062004444004e-05,0.00048346245648796054,0.00015049913807404605,2.820290384180646e-07
2.1,0.9798256492794036,0.019444926587280868,3.413868311665381e-05,0.0006278680115571677,6.714637974755622e-05,2.710588943128781e-07,0.20368035876717708,0.9859246540182467,0.013395943693819986,1.3466191803504629e-05,0.0005072165132804442,0.00015840866190101552,3.1092094833924604e-07
2.2,0.9790920692151479,0.020140896641110906,3.842092074217248e-05,0.0006578217385254829,7.048118377259826e-05,3.1030070112501107e-07,0.20113510856961647,0.9852639104111697,0.01402369140365741,1.4771498827736837e-05,0.0005309316038826285,0.00016635386261811734,3.412198445325346e-07
2.3000000000000003,0.9784062430040827,0.020790220707942165,4.286127326672598e-05,0.0006865664859674053,7.375625434600424e-05,3.522743951391532e-07,0.19823085830805823,0.9846040223711481,0.014650525788503233,1.6136446810305195e-05,0.0005546078548782923,0.0001743346131588603,3.7292550128805407e-07
2.4000000000000004,0.9777627572182869,0.021398283140529484,4.7434111385331236e-05,0.0007141441322298624,7.698449411259492e-05,3.9690345598765974e-07,0.19506678042684517,0.9839449887254429,0.015276448115977464,1.7560941576411252e-05,0.0005782453924635753,0.00018235078684745228,4.060376922815371e-07
2.5,0.977155839005689,0.021970809310227893,5.211471721725831e-05,0.0007406131975196526,8.017966723046857e-05,4.4410211584453876e-07,0.19173786498951548,0.9832868083029337,0.015901459651946927,1.904488908310762e-05,0.0006018443424481163,0.00019040225739764966,4.4055619057687673e-07
2.6,0.9765795621991993,0.022513662986600146,5.687986380434128e-05,0.0007660452736788878,8.335589851792837e-05,4.937781995471649e-07,0.188333889325825,0.9826294799341169,0.016525561660527686,2.0588195419116263e-05,0.0006254048302561923,0.00019848889891161027,4.7648076862866936e-07
2.7,0.9760280286509488,0.023032668285032292,6.170829602721951e-05,0.0007905216976680392,8.65272344982299e-05,5.458358255607374e-07,0.1849383129663863,0.9819730024511034,0.017148755404087487,2.2190766804647007e-05,0.0006489269809278524,0.00020661058587874933,5.138111982847506e-07
2.8000000000000003,0.9754955233733755,0.02353345756939639,6.658110775766175e-05,0.000814130502536202,8.970726901071803e-05,6.00177923666393e-07,0.18162711992835784,0.9813173746876152,0.01777104214324816,2.3852509591216336e-05,0.00067241091912005,0.0002147671931745986,5.525472507887206e-07
2.9000000000000004,0.9749766429740554,0.024021345800287825,7.14820140570199e-05,0.0008369636690778189,9.290883398794084e-05,6.567085341700779e-07,0.17846765330309983,0.9806625954789862,0.018392423136888075,2.5573330261466426e-05,0.0006958567691077697,0.00022295859605966944,5.926886967824652e-07
3.0,0.9744663976634806,0.024501231034862746,7.639752077470147e-05,0.0008591146918107304,9.61437542094016e-05,7.153348618747359e-07,0.17551751190760878,0.9800086636621568,0.019012899642144507,2.7353135428984427e-05,0.0007192646547851531,0.0002311846701783185,6.342353063086643e-07
3.1,0.9739602877888416,0.02497752011739366,8.131699693804829e-05,0.000880676464420456,9.942266334041704e-05,7.759690659724681e-07,0.17282360060673094,0.9793555780756728,0.019632472914416083,2.9191831838121963e-05,0.0007426346996666191,0.000239445291557617,6.771868488132957e-07
3.2,0.9734543564006601,0.02545407805196909,8.623265782179439e-05,0.0009017394824273547,0.00010275487734734546,8.385297743490862e-07,0.17042143833378073,0.9787033375596839,0.020251144207365197,3.108932636381494e-05,0.0007659670268879833,0.00024774033660622324,7.215430931481304e-07
