time_fs,ground_population,"electron_(0, 0)","electron_(0, 1)","electron_(0, 2)","electron_(1, 0)","electron_(1, 1)","electron_(1, 2)","hole_(0, 0)","hole_(0, 1)","hole_(0, 2)","hole_(1, 0)","hole_(1, 1)","hole_(1, 2)","exciton_(0, 0)","exciton_(0, 1)","exciton_(0, 2)","exciton_(1, 0)","exciton_(1, 1)","exciton_(1, 2)"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.012024048096192,0.016736054288237403,0.8604931216586718,0.10525121841527647,0.0005744907787744757,0.013083954756105937,0.0038333165011069964,2.7843601826948378e-05,0.9711647286016043,0.011699556066137456,4.642933385930142e-06,0.0003249137824731914,6.953882288933471e-05,5.655052724058428e-07,0.8499047510942095,0.0012527035304038584,2.6874182228470086e-09,4.3202565023434565e-06,2.6832220817340646e-07,1.5634044414663577e-11
12.024048096192384,0.031208932348315014,0.8211380819920086,0.1083584223258015,0.004095232446252697,0.0074568662048181775,0.02694174416889881,0.0008007205139053895,0.9356881504076077,0.03207383508304859,3.32225133658646e-05,0.000844872226153639,0.0001481875804892065,2.799841020157565e-06,0.7930516611498281,0.00356716664087381,1.3771009788306715e-07,6.461245940130182e-06,4.039711304703142e-06,2.23315376493895e-09
18.03607214428858,0.04659710189035406,0.9015249880365623,0.0003501137836134639,0.005571832928452884,0.003167102002796206,0.04040970692715312,0.0023791544310678477,0.9164803467953204,0.035866997261455216,0.00010763145132715756,0.0008146956551406361,0.00012664655389328799,6.580392509267385e-06,0.8665853033236259,1.0627097995836453e-05,6.096068607741147e-07,2.6644702579907165e-06,5.189035250831772e-06,1.558784166286788e-08
24.04809619238477,0.06148767507795971,0.7551024131756147,0.08854165605441366,0.008920252021446461,0.02096281724845342,0.0642157677959323,0.0007694186261794939,0.9193087396809493,0.018558469568966042,0.00022955465708997282,0.0002608176931528187,0.00014403734196361483,1.0705979918306793e-05,0.7395923972816834,0.0017207941222905526,2.0918330393469766e-06,5.500527859499939e-06,9.433854339901088e-06,7.978403595156292e-09
30.06012024048096,0.07379885909433226,0.6748840288557638,0.0974769780053125,0.019540513331729,0.0041086539040131155,0.12844986819454754,0.0017410986143015109,0.9240164059241882,0.001460055951478548,0.0003864727978346867,6.45973007920617e-05,0.0002574608862903399,1.6148045083723845e-05,0.6732520677345113,0.000128400519446619,7.767464996829851e-06,3.3413655924674886e-07,3.420429501376464e-05,2.7462677737622154e-08
36.07214428857716,0.08630581978074468,0.7232258111707405,0.0011185334001575645,0.022583395658629584,0.011667071024567207,0.14650638860672988,0.008592980358430069,0.9069703359477235,0.005124204655892111,0.000557814302713711,0.0007516915982254805,0.0002648570706991817,2.5276644000901868e-05,0.7178900537395507,1.4356322323484814e-05,1.3032008692637942e-05,8.571017177286442e-06,4.051383009940753e-05,2.153435482004253e-07
42.08416833667335,0.09812443444687839,0.5874973058348666,0.06714900592752232,0.029494423065101597,0.031089481799965558,0.18249297597838934,0.004152372947275753,0.875146715167978,0.024301721747391616,0.0006983334940114076,0.0015744235555355212,0.00011801788623050377,3.635370197421982e-05,0.569795387436666,0.001673606485353263,2.1415860189402683e-05,5.1080017011991e-05,2.2534785790254532e-05,1.474148928905005e-07
48.09619238476954,0.10730950410040191,0.4870928191430077,0.076722749694794,0.04753299003073164,0.002387664476118558,0.2769432197351211,0.002011052819824682,0.8554247670334494,0.03494752631009539,0.0007459472792923144,0.0014383981938764728,8.911678320166665e-05,4.474029968255175e-05,0.4662784207000317,0.002853109573163404,3.7238151918438365e-05,3.6821969029111983e-06,2.5455692034362062e-05,8.453986927942906e-08
54.10821643286573,0.11611249668242939,0.5066197099753234,0.0017426412626436675,0.05192549435281013,0.023079308233940624,0.2841250584152886,0.016395291077563816,0.8582908723890587,0.0240304483437697,0.0006759836963420668,0.000568007318086857,0.0002709315720640421,5.12599982489292e-05,0.49164003065103107,2.2596447053534686e-05,3.715581203968411e-05,1.3536913104680031e-05,8.099421801197172e-05,8.272642242942999e-07
